track_genre,x,y
acoustic,0.92683292,2.42414964
afrobeat,1.49728202,1.77650922
alt-rock,1.48362012,2.31915639
alternative,1.66669909,2.46753119
ambient,0.50962541,1.54010874
anime,1.40019923,1.74945163
black-metal,1.73353219,2.17936646
bluegrass,0.84506796,2.46275391
blues,1.20252765,2.38253946
brazil,1.35243768,2.32762742
breakbeat,1.71941267,2.1395392
british,1.12423319,2.02451593
cantopop,0.89062139,2.22475765
chicago-house,1.78195421,1.9647482
children,0.89322154,2.42686777
chill,1.40809675,2.22255049
classical,0.20867734,1.84252618
club,1.55011743,2.22784673
comedy,3.247443,4.67904648
country,1.09539241,3.03211864
dance,1.74862119,2.30303613
dancehall,1.98848605,2.30943307
death-metal,1.83451764,2.36749364
deep-house,1.63308855,1.74259473
detroit-techno,1.82265261,2.02242204
disco,1.37448518,2.05274712
disney,0.41413063,2.02758518
drum-and-bass,1.75314831,1.78993437
dub,1.55385477,1.96419671
dubstep,1.58177548,2.04751539
edm,1.68990718,2.08170591
electro,1.65953296,2.17963478
electronic,1.67412721,1.95568793
emo,2.1582825,2.92575782
folk,0.99280972,2.29784823
forro,1.27670492,2.05198648
french,1.74824783,2.10784023
funk,1.89741652,2.48090603
garage,1.47063681,2.2503985
german,1.32788844,1.96889891
gospel,0.99059086,2.44294233
goth,1.52003841,1.96236894
grindcore,1.76742043,2.34598128
groove,1.61407503,1.95345395
grunge,1.50197249,2.21498349
guitar,0.50939236,1.75408771
happy,1.74850988,2.19829952
hard-rock,1.46410015,2.16495468
hardcore,1.99333986,2.49674453
hardstyle,1.76482754,1.84969317
heavy-metal,1.63170804,2.06407568
hip-hop,2.01791958,2.28745285
honky-tonk,0.59568221,2.86880925
house,1.68975129,2.08694991
idm,1.21173748,1.84271108
indian,1.08513758,2.08222726
indie,1.22540603,2.5050383
indie-pop,1.27523117,2.54174637
industrial,1.81397786,2.43580458
iranian,1.15966272,1.79505368
j-dance,2.11253945,2.55505239
j-idol,1.28063792,2.24183688
j-pop,1.20558861,2.22513995
j-rock,1.30107989,2.16661559
jazz,0.79849145,2.24328133
k-pop,1.46054014,1.76482732
kids,1.25376961,2.3582458
latin,1.64080636,2.31392612
latino,1.87493234,2.42608207
malay,1.30131389,1.77515045
mandopop,0.96851228,2.24928989
metal,1.67129946,2.21922937
metalcore,1.89557048,2.19212611
minimal-techno,1.7489902,2.02629522
mpb,1.13429009,2.14921325
new-age,0.30989975,1.55704503
opera,0.55380539,2.05877516
pagode,1.18628768,2.08870006
party,1.35319219,2.46028452
piano,0.51718215,1.92578742
pop,1.46848595,1.93376699
pop-film,1.24484895,1.72064036
power-pop,1.32099846,2.4426212
progressive-house,1.69573787,1.85964894
psych-rock,1.2702201,2.14519421
punk,1.47179414,2.44211512
punk-rock,1.44116811,2.3464455
r-n-b,1.35775093,2.53315118
reggae,1.7149927,2.31841057
reggaeton,1.82144689,2.30374324
rock,1.328197,2.57647107
rock-n-roll,0.95864005,2.47864163
rockabilly,1.11845227,2.41855878
romance,1.19622397,1.15672421
sad,2.01218602,2.80585246
salsa,1.27819025,1.87346992
samba,1.21933029,1.92324014
sertanejo,1.05712995,2.49587798
show-tunes,0.81765003,2.24485911
singer-songwriter,0.91813386,2.64502901
ska,1.36224766,2.16091027
sleep,0.37586969,1.77183108
songwriter,0.91813386,2.64502901
soul,1.30678577,2.38911732
spanish,1.33765832,2.12179261
study,0.9803912,1.4823273
swedish,1.32725984,2.43869399
synth-pop,1.43549148,1.9969927
tango,0.98005059,1.36428799
techno,1.68881265,2.05789463
trance,1.74564305,1.90370364
trip-hop,1.5930099,1.7908422
turkish,1.90625783,1.64701779
world-music,0.97392017,2.49345859
